pseoInstitutionId,name,state,city,lat,lon,tuitionInState,tuitionOutState,roomCost,bookCost,totalCostEstimate,loanPrincipal,pellGrantRate,federalLoanRate,studentsWithAnyLoan,medianDebtOverall,completerDebt,monthlyPayment,gradCohort,gradCohortYears,y1P25Earnings,y1P50Earnings,y1P75Earnings,y1GradsEarn,y1IpedsCount,earningsDebtRatio,matchMethod
00154100,Abraham Baldwin Agricultural College,GA,Tifton,31.481889,-83.528281,3565,10471,7910,900,12375,8750,0.3891,0.3563,0.712760549,8750,17500,174.94,2019,3,31663,43775,55192,791,974,2.5,exact
00134500,Adams State University,CO,Alamosa,37.473636,-105.879642,9560,21296,8916,1800,20276,11779,0.4106,0.5409,0.801746725,11779,21500,214.93,2019,3,28304,40889,53767,631,1013,1.9,exact
00154200,Agnes Scott College,GA,Decatur,33.769268,-84.295459,44250,44250,13050,1000,58300,20250,0.407,0.5672,0.9075,20250,26737,267.28,2019,3,23899,34035,46617,413,716,1.27,exact
00154400,Albany State University,GA,Albany,31.56928,-84.141825,5934,16656,10076,1460,17470,12062,0.6622,0.6753,0.920170628,12062,26487,264.78,2019,3,27541,39439,58945,1105,1457,1.49,exact
00137400,Albertus Magnus College,CT,New Haven,41.332519,-72.923848,35410,35410,14454,1000,50864,25250,0.5134,0.8073,0.957972806,25250,30836,308.26,2019,3,35474,51913,73604,576,791,1.68,exact
00341700,Allen University,SC,Columbia,34.010348,-81.020045,13340,13340,7894,1000,22234,9816,0.8693,0.8493,0.925,9816,35000,349.88,2019,3,20148,26970,36215,99,152,0.77,exact
00354100,Angelo State University,TX,San Angelo,31.440914,-100.465051,7907,17723,9630,1200,18737,12058,0.3127,0.3301,0.763273588,12058,19809,198.02,2019,3,27800,39707,54353,2331,3474,2.0,exact
00290600,Appalachian State University,NC,Boone,36.215536,-81.680583,7410,22217,9174,700,17284,16000,0.2872,0.4533,0.847611203,16000,20271,202.64,2019,3,28037,40878,54398,8699,12874,2.02,exact
00108100,Arizona State University,AZ,Tempe,33.417721,-111.934383,11338,29428,13510,1300,26148,13632,0.3315,0.3477,0.794091808,13632,20000,199.93,2019,3,34698,50017,70522,43383,39820,2.5,manual
01216500,Atlanta Metropolitan  State College,GA,Atlanta,33.70893,-84.404659,3505,10131,6480,1440,11425,5500,0.6188,0.2885,0.456944444,5500,13220,132.16,2019,3,32198,45300,65458,122,171,3.43,exact
