pseoInstitutionId,name,state,city,lat,lon,tuitionInState,tuitionOutState,roomCost,bookCost,totalCostEstimate,loanPrincipal,pellGrantRate,federalLoanRate,studentsWithAnyLoan,medianDebtOverall,completerDebt,monthlyPayment,gradCohort,gradCohortYears,y1P25Earnings,y1P50Earnings,y1P75Earnings,y1GradsEarn,y1IpedsCount,y5P25Earnings,y5P50Earnings,y5P75Earnings,y5GradsEarn,y5IpedsCount,y10P25Earnings,y10P50Earnings,y10P75Earnings,y10GradsEarn,y10IpedsCount,earningsDebtRatio,matchMethod
00154100,Abraham Baldwin Agricultural College,GA,Tifton,31.481889,-83.528281,3565,10471,7910,900,12375,8750,0.3891,0.3563,0.712760549,8750,17500,174.94,0000,3,31312,42146,53498,1768,2122,42731,55635,71780,1033,1148,49582,69154,93789,126,124,2.41,exact
00134500,Adams State University,CO,Alamosa,37.473636,-105.879642,9560,21296,8916,1800,20276,11779,0.4106,0.5409,0.801746725,11779,21500,214.93,0000,3,26716,37597,49898,3974,6927,37670,50112,66187,3864,5914,42814,58035,78928,2245,3629,1.75,exact
00154200,Agnes Scott College,GA,Decatur,33.769268,-84.295459,44250,44250,13050,1000,58300,20250,0.407,0.5672,0.9075,20250,26737,267.28,0000,3,24907,35130,47031,1669,3310,37099,52802,70349,1893,2594,48076,67261,94989,902,1251,1.31,exact
00154400,Albany State University,GA,Albany,31.56928,-84.141825,5934,16656,10076,1460,17470,12062,0.6622,0.6753,0.920170628,12062,26487,264.78,0000,3,25692,35964,48451,6966,10182,36764,48313,61932,6750,8725,42313,57477,73891,4231,5582,1.36,exact
00137400,Albertus Magnus College,CT,New Haven,41.332519,-72.923848,35410,35410,14454,1000,50864,25250,0.5134,0.8073,0.957972806,25250,30836,308.26,0000,3,39249,58603,83657,4381,7225,50268,70148,99083,4039,6434,61247,85741,118570,2286,4427,1.9,exact
00341700,Allen University,SC,Columbia,34.010348,-81.020045,13340,13340,7894,1000,22234,9816,0.8693,0.8493,0.925,9816,35000,349.88,0000,3,23178,30066,41265,709,1284,29434,38851,48557,716,1132,34446,45443,61726,425,696,0.86,exact
00178500,Anderson University,IN,Anderson,40.112768,-85.664315,32100,32100,10840,1400,44340,19500,0.3733,0.7,0.959826276,19500,27000,269.91,0000,3,29106,41238,59201,1611,3525,41800,54175,74234,1728,3525,,,,,965,1.53,exact
00354100,Angelo State University,TX,San Angelo,31.440914,-100.465051,7907,17723,9630,1200,18737,12058,0.3127,0.3301,0.763273588,12058,19809,198.02,0000,3,28164,40393,54874,13530,19499,43975,57020,75570,12456,16025,51644,67963,95250,7549,10098,2.04,exact
00290600,Appalachian State University,NC,Boone,36.215536,-81.680583,7410,22217,9174,700,17284,16000,0.2872,0.4533,0.847611203,16000,20271,202.64,0000,3,27211,39067,50267,44984,68929,42318,53951,72180,43468,56055,50491,64964,94079,24853,33104,1.93,exact
00108100,Arizona State University,AZ,Tempe,33.417721,-111.934383,11338,29428,13510,1300,26148,13632,0.3315,0.3477,0.794091808,13632,20000,199.93,0000,3,33048,47067,65310,162451,184666,48686,66693,92769,127935,144846,58872,83335,123283,58094,88637,2.35,manual
01216500,Atlanta Metropolitan  State College,GA,Atlanta,33.70893,-84.404659,3505,10131,6480,1440,11425,5500,0.6188,0.2885,0.456944444,5500,13220,132.16,0000,3,28511,38643,57042,227,325,37041,51223,61630,96,154,,,,,,2.92,exact
00233400,Augsburg University,MN,Minneapolis,44.966307,-93.240436,40005,40005,10886,1200,52091,19329,0.4856,0.7578,0.871194379,19329,25000,249.92,0000,3,32828,48248,69073,7399,10136,48213,66140,91122,6375,8245,62189,85014,120102,3255,4012,1.93,exact
00157900,Augusta University,GA,Augusta,33.47037,-81.989071,9022,24400,10884,2000,21906,13250,0.3858,0.4625,0.812280702,13250,21385,213.78,0000,3,32566,47728,67673,13489,8996,44092,59212,80455,11885,5848,51997,70127,98054,7315,,2.23,exact
00163400,Aurora University,IL,Aurora,41.753631,-88.349023,25600,25600,10474,1560,37634,16000,0.4393,0.6311,0.873330263,16000,21250,212.43,0000,3,31263,45057,63385,9801,13534,46170,61304,81560,7687,10077,52618,71538,100157,3215,4637,2.12,exact
00370200,Averett University,VA,Danville,36.577287,-79.413203,36670,36670,10920,1000,48590,17149,0.4631,0.7539,0.934487021,17149,25000,249.92,0000,3,30157,44281,63800,3649,7893,42851,56686,81057,3504,7035,49073,66044,99239,2527,4930,1.77,exact
00178600,Ball State University,IN,Muncie,40.203431,-85.409043,10144,27132,10796,1350,22290,16750,0.3346,0.528,0.890135772,16750,23250,232.42,0000,3,28563,39656,52631,44434,67649,41775,54732,71346,42987,56929,48503,65371,90486,25437,36577,1.71,exact
